# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1322
#@/user_id	f1c9d795-0135-4a3d-9b4c-a295cde06be4
a yi 	阿姨	c=0 d=0.000860854 t=1322
ai fu 	爱抚	c=1 d=0.847894 t=1322
an 	案	c=7 d=0.773047 t=1322
an jian 	案件	c=1 d=0.0151463 t=1322
an quan 	安全	c=4 d=0.165728 t=1322
an zhuang 	安装	c=1 d=0.00341356 t=1322
ba 	吧	c=2 d=0.940491 t=1322
ba 	把	c=1 d=0.0132999 t=1322
ba 	爸	c=1 d=0.0275983 t=1322
ba shi 	八十	c=1 d=0.444858 t=1322
ban 	半	c=3 d=0.730664 t=1322
ban ben 	版本	c=1 d=0.0692522 t=1322
ban gong shi 	办公室	c=1 d=0.0102549 t=1322
bei 	被	c=1 d=0.121238 t=1322
bei gao 	备稿	c=1 d=0.00914087 t=1322
bei guai 	被拐	c=1 d=0.0139818 t=1322
bi 	比	c=1 d=0.0911727 t=1322
bi fa 	笔法	c=1 d=0.114178 t=1322
bi hui 	笔灰	c=1 d=0.0765355 t=1322
bi jiao 	比较	c=2 d=0.0137488 t=1322
bi zhi 	笔直	c=1 d=0.0198411 t=1322
bian min 	便民	c=1 d=0.0401553 t=1322
biao dian 	标点	c=1 d=0.00194013 t=1322
biao ti 	标题	c=2 d=0.404319 t=1322
bing fei 	并非	c=1 d=0.151072 t=1322
bo 	博	c=1 d=0.00606634 t=1322
bo ke 	博客	c=3 d=0.0170668 t=1322
bu 	不	c=4 d=1.18623 t=1322
bu chong 	补充	c=1 d=0.157237 t=1322
bu ding 	补丁	c=1 d=0.120032 t=1322
bu fen 	部分	c=0 d=0.000250366 t=1322
bu gao 	不搞	c=1 d=0.0266491 t=1322
bu guo 	不过	c=1 d=0.102284 t=1322
bu he shi 	不合适	c=1 d=0.0221482 t=1322
bu ke neng 	不可能	c=1 d=0.0262523 t=1322
bu liao 	不料	c=1 d=0.0507928 t=1322
bu neng 	不能	c=1 d=0.00337959 t=1322
bu shi 	不是	c=0 d=0.000304273 t=1322
bu shi ying 	不适应	c=1 d=0.00148848 t=1322
bu shi yong 	不是用	c=1 d=0.00305798 t=1322
bu yong 	不用	c=3 d=0.607546 t=1322
bu zai 	不再	c=0 d=0.00018363 t=1322
bu zai shi 	不再是	c=2 d=0.00371891 t=1322
bu zhi 	不知	c=1 d=0.00392653 t=1322
bu zhi dao 	不知道	c=3 d=0.024404 t=1322
cai 	才	c=2 d=0.0946634 t=1322
cai jian 	裁剪	c=1 d=0.546074 t=1322
cai yong 	采用	c=2 d=0.00528277 t=1322
can kao 	参考	c=2 d=0.207141 t=1322
can zhao 	参照	c=1 d=0.00159641 t=1322
ce guo 	测过	c=1 d=0.00259284 t=1322
ceng 	曾	c=1 d=0.26982 t=1322
cha ru 	插入	c=2 d=0.00560726 t=1322
chang 	场	c=1 d=0.174645 t=1322
chang 	昌	c=2 d=0.0106471 t=1322
che 	车	c=1 d=0.0309618 t=1322
chen su feng 	陈素封	c=1 d=0.00946646 t=1322
chen zi 	臣子	c=1 d=0.185444 t=1322
cheng 	成	c=1 d=0.0361528 t=1322
cheng du 	程度	c=1 d=0.0057417 t=1322
cheng ke 	乘客	c=2 d=0.0914887 t=1322
cheng shi 	城市	c=1 d=0.0332068 t=1322
cheng wei 	成为	c=1 d=0.529935 t=1322
chi xu 	持续	c=1 d=0.25924 t=1322
chong xin 	重新	c=2 d=0.269615 t=1322
chong zhuang 	重装	c=3 d=0.00460966 t=1322
chu 	出	c=3 d=0.834105 t=1322
chu gao 	初稿	c=1 d=0.00360656 t=1322
chu le 	除了	c=1 d=0.0547488 t=1322
chu se 	出色	c=1 d=0.00460782 t=1322
chu shu 	出书	c=1 d=0.00582847 t=1322
chuan 	串	c=1 d=0.316637 t=1322
chuan 	传	c=1 d=0.0135009 t=1322
chuan 	穿	c=1 d=0.060205 t=1322
chuan da 	传达	c=1 d=0.011109 t=1322
chuan zhe 	穿着	c=1 d=0.0342181 t=1322
chun shu 	纯熟	c=1 d=0.00683978 t=1322
chun yun 	春运	c=1 d=0.0143357 t=1322
ci 	词	c=2 d=1.09431 t=1322
ci chu 	此处	c=1 d=0.0029528 t=1322
ci ku 	词库	c=2 d=1.84177 t=1322
ci shu 	此书	c=5 d=0.55899 t=1322
cun chu 	存储	c=1 d=0.00486835 t=1322
da 	达	c=1 d=0.38868 t=1322
da ming 	大明	c=8 d=1.59358 t=1322
da ming jie 	大明劫	c=1 d=0.158025 t=1322
da pei 	搭配	c=1 d=0.00225411 t=1322
da quan 	大全	c=1 d=0.00860854 t=1322
da suan 	打算	c=2 d=1.3184 t=1322
da zi 	打字	c=1 d=0.97531 t=1322
dai 	带	c=2 d=0.767323 t=1322
dai dai 	呆呆	c=1 d=0.733447 t=1322
dai dong 	带动	c=0 d=0.000202943 t=1322
dan 	但	c=2 d=0.0184194 t=1322
dan fan 	单反	c=2 d=0.227565 t=1322
dan kao 	单靠	c=1 d=0.194952 t=1322
dang 	当	c=0 d=0.00023935 t=1322
dang di 	当地	c=1 d=0.0523397 t=1322
dang du chang 	当赌场	c=1 d=0.00240549 t=1322
dang ran 	当然	c=1 d=0.133989 t=1322
dang zhong 	当中	c=1 d=0.117655 t=1322
dao 	倒	c=1 d=0.806541 t=1322
dao 	到	c=6 d=0.489552 t=1322
dao 	稻	c=1 d=0.165299 t=1322
dao ru 	导入	c=2 d=1.1198 t=1322
dao shi 	到时	c=1 d=0.0229371 t=1322
dao shi hou 	到时候	c=1 d=0.0125881 t=1322
de 	得	c=2 d=0.144336 t=1322
de 	的	c=49 d=6.59776 t=1322
den 	扽	c=2 d=0.033383 t=1322
den an 	扽按	c=1 d=0.00265848 t=1322
den den jing 	扽扽经	c=2 d=0.00541125 t=1322
den jiang 	扽将	c=3 d=0.0358992 t=1322
den ling jian 	扽零件	c=1 d=0.0026852 t=1322
deng 	等	c=1 d=0.0161635 t=1322
di fang 	地方	c=1 d=0.501576 t=1322
di san ji 	第三集	c=1 d=0.585669 t=1322
dian 	点	c=5 d=0.761111 t=1322
dian ban 	点半	c=1 d=0.373439 t=1322
dian hou 	点后	c=1 d=0.0288686 t=1322
dian hua 	电话	c=4 d=1.00273 t=1322
dian shi 	电视	c=1 d=0.644036 t=1322
dian shi ju 	电视剧	c=1 d=0.141564 t=1322
dian ti 	电梯	c=1 d=0.0177743 t=1322
dian ying 	电影	c=3 d=0.939067 t=1322
diao 	掉	c=1 d=0.535261 t=1322
ding qi 	定期	c=1 d=0.00543443 t=1322
ding yi 	定义	c=1 d=0.00255424 t=1322
dong 	动	c=2 d=0.0557521 t=1322
dong dong 	东东	c=1 d=0.0668703 t=1322
dou 	斗	c=1 d=0.0488012 t=1322
dou 	都	c=6 d=0.683858 t=1322
dou shi 	都是	c=2 d=0.105683 t=1322
dou yin 	抖音	c=1 d=0.00362464 t=1322
du 	堵	c=1 d=0.50409 t=1322
du chang 	赌场	c=0 d=0.00023935 t=1322
du shu 	读书	c=1 d=0.0049667 t=1322
du wan 	读完	c=2 d=0.170103 t=1322
du zhi 	读至	c=1 d=0.0963276 t=1322
duan duan xu xu 	断断续续	c=1 d=0.0735345 t=1322
dui 	队	c=3 d=0.603831 t=1322
dui zhang 	队长	c=1 d=0.0581343 t=1322
duo da 	多大	c=2 d=0.0480906 t=1322
duo shao 	多少	c=2 d=0.508664 t=1322
en 	嗯	c=2 d=0.938886 t=1322
en 	恩	c=1 d=0.00136037 t=1322
er 	而	c=1 d=0.106459 t=1322
er shi 	而是	c=2 d=0.00373755 t=1322
fa 	法	c=1 d=0.583267 t=1322
fa bu 	发布	c=2 d=0.0109549 t=1322
fa song 	发送	c=2 d=1.05678 t=1322
fa xian 	发现	c=3 d=0.0968098 t=1322
fan bian 	翻遍	c=1 d=0.085435 t=1322
fan ye 	翻页	c=12 d=6.88484 t=1322
fang bian 	方便	c=3 d=0.0656665 t=1322
fei 	非	c=2 d=0.970256 t=1322
fei chang 	非常	c=1 d=0.00241755 t=1322
fei xu gou 	非虚构	c=1 d=0.115903 t=1322
fen 	分	c=2 d=0.698911 t=1322
fen lei 	分类	c=1 d=0.209088 t=1322
feng mian 	封面	c=1 d=0.0706512 t=1322
fu 	福	c=2 d=0.0351954 t=1322
fu gai 	覆盖	c=1 d=0.00321477 t=1322
fu hua 	腐化	c=0 d=0.0159614 t=1322
fu wu 	服务	c=5 d=0.447792 t=1322
fu wu dui 	服务队	c=1 d=0.0383884 t=1322
fu wu zhan 	服务站	c=1 d=0.0403566 t=1322
fu za 	复杂	c=1 d=0.946485 t=1322
fu ze 	负责	c=2 d=0.951135 t=1322
fu zhi 	复制	c=2 d=0.00329022 t=1322
gai 	改	c=1 d=0.166127 t=1322
gai 	该	c=0 d=0.000202943 t=1322
gai cheng 	改成	c=0 d=0.000211225 t=1322
gai cheng shu pai 	改成竖排	c=1 d=0.00212284 t=1322
gai dai dong 	该带动	c=1 d=0.0020396 t=1322
gai shan 	改善	c=1 d=0.0432828 t=1322
gan jing 	干净	c=1 d=0.00222055 t=1322
gan jue 	感觉	c=1 d=0.798516 t=1322
gang 	刚	c=1 d=0.037068 t=1322
gang gang 	刚刚	c=2 d=1.10335 t=1322
gao 	搞	c=1 d=0.0259911 t=1322
gao su 	高速	c=1 d=0.0178634 t=1322
gao xiao 	高效	c=3 d=0.0247329 t=1322
ge 	个	c=3 d=0.414899 t=1322
ge 	歌	c=4 d=0.0743126 t=1322
ge zhong 	各种	c=3 d=0.185623 t=1322
gen 	根	c=1 d=0.00169512 t=1322
gen 	跟	c=4 d=0.511572 t=1322
gen ju 	根据	c=1 d=0.0689068 t=1322
gen wo 	跟我	c=1 d=0.00236968 t=1322
geng 	更	c=3 d=0.159229 t=1322
geng duo 	更多	c=1 d=0.138069 t=1322
geng hao 	更好	c=1 d=0.00191125 t=1322
geng xin 	更新	c=1 d=0.913931 t=1322
geng you 	更有	c=2 d=0.135402 t=1322
gong an 	公安	c=1 d=0.0148464 t=1322
gong bei 	拱北	c=1 d=0.0297478 t=1322
gong jiao 	公交	c=2 d=0.0824098 t=1322
gong lu 	公路	c=2 d=0.037938 t=1322
gong neng 	功能	c=1 d=0.00252883 t=1322
gong tong 	共通	c=0 d=0.0110803 t=1322
gong tong dian 	共通点	c=1 d=0.111359 t=1322
gong zuo 	工作	c=1 d=0.0109436 t=1322
gou jian 	构建	c=1 d=0.22091 t=1322
gou mai 	购买	c=1 d=0.00970611 t=1322
gou tong 	沟通	c=1 d=0.491644 t=1322
gu shi 	故事	c=2 d=0.164806 t=1322
guan 	官	c=1 d=0.245367 t=1322
guan chang 	官场	c=1 d=0.183599 t=1322
guan fang 	官方	c=2 d=0.484761 t=1322
guang huan 	广欢	c=1 d=0.018043 t=1322
guang zhou 	广州	c=1 d=0.0322254 t=1322
gui yi 	诡异	c=1 d=0.15259 t=1322
guo 	过	c=2 d=0.276497 t=1322
guo cheng 	过程	c=1 d=0.00504176 t=1322
guo ku 	国库	c=1 d=0.172045 t=1322
guo qu 	过去	c=0 d=0.00257325 t=1322
guo wang 	过往	c=2 d=0.0978709 t=1322
guo yu 	过于	c=1 d=0.937067 t=1322
ha ha 	哈哈	c=1 d=0.00209124 t=1322
hai 	海	c=2 d=0.0107005 t=1322
hai shi 	还是	c=2 d=0.0701113 t=1322
hai xiang 	还想	c=1 d=0.136695 t=1322
hai zi 	孩子	c=1 d=0.0147723 t=1322
hao 	号	c=1 d=0.0153752 t=1322
hao 	好	c=7 d=2.06678 t=1322
hao kan 	好看	c=1 d=0.66034 t=1322
hao xiang 	好想	c=0 d=0.000516939 t=1322
hao xiang fa 	好想法	c=1 d=0.0051953 t=1322
hao yong 	好用	c=1 d=0.00242967 t=1322
hao you 	蚝油	c=1 d=0.0136366 t=1322
he 	和	c=2 d=0.0805296 t=1322
he 	鹤	c=3 d=0.081708 t=1322
he shi 	合适	c=0 d=0.00220377 t=1322
hong qi 	红旗	c=1 d=0.0357931 t=1322
hong se 	红色	c=2 d=0.0952 t=1322
hou 	后	c=6 d=0.614385 t=1322
hou mian 	后面	c=1 d=0.282239 t=1322
hou tou 	后头	c=1 d=0.212248 t=1322
hou xuan 	候选	c=1 d=0.00215492 t=1322
hou zhe 	后者	c=1 d=0.00404611 t=1322
hu xin 	湖心	c=3 d=0.863026 t=1322
hu xin lu 	湖心路	c=3 d=0.130407 t=1322
hua 	花	c=3 d=0.0568175 t=1322
hua qian 	花钱	c=1 d=0.00232276 t=1322
huan 	换	c=4 d=0.0995043 t=1322
huan jie 	缓解	c=1 d=0.045275 t=1322
huang ce 	黄册	c=2 d=0.176096 t=1322
huang di 	皇帝	c=1 d=0.162026 t=1322
hui 	会	c=3 d=0.867691 t=1322
hui 	回	c=1 d=0.0495388 t=1322
hui jia 	回家	c=2 d=0.0298598 t=1322
hui tou 	回头	c=1 d=0.29523 t=1322
hui xiang 	回乡	c=1 d=0.496585 t=1322
hui you 	会有	c=1 d=0.341298 t=1322
huo 	或	c=1 d=0.640824 t=1322
huo qu 	获取	c=1 d=0.0081887 t=1322
ji hu 	几乎	c=1 d=0.0788664 t=1322
ji jie 	集结	c=1 d=0.0057994 t=1322
ji ke 	即可	c=1 d=0.00329615 t=1322
ji lei 	积累	c=1 d=0.00565622 t=1322
ji qiao 	技巧	c=1 d=0.00402593 t=1322
ji shu 	技术	c=1 d=0.00384878 t=1322
ji tian 	几天	c=1 d=0.0159229 t=1322
ji xia 	记下	c=1 d=0.280832 t=1322
ji xu 	继续	c=1 d=0.276651 t=1322
jia jing 	嘉靖	c=1 d=0.149569 t=1322
jia shang 	加上	c=1 d=0.0902655 t=1322
jia zai 	加载	c=1 d=0.0015648 t=1322
jian cha 	检查	c=1 d=0.00873865 t=1322
jian chi 	坚持	c=3 d=0.902195 t=1322
jian shu 	荐书	c=1 d=0.701173 t=1322
jian wei zhi zhu 	见微知著	c=1 d=0.110251 t=1322
jiang 	将	c=3 d=0.431601 t=1322
jiang zi 	酱紫	c=1 d=0.00256704 t=1322
jiao 	叫	c=3 d=0.0617226 t=1322
jiao tong 	交通	c=2 d=0.0968597 t=1322
jie 	劫	c=0 d=0.0157237 t=1322
jie 	节	c=1 d=0.0137049 t=1322
jie jue 	解决	c=1 d=0.301194 t=1322
jie shao 	介绍	c=1 d=0.215456 t=1322
jie ya 	解压	c=2 d=0.00491652 t=1322
jin 	进	c=1 d=0.343009 t=1322
jin ri 	今日	c=1 d=0.00425356 t=1322
jin ru 	进入	c=1 d=0.00388746 t=1322
jin shang tian hua 	锦上添花	c=1 d=0.12493 t=1322
jin tian 	今天	c=1 d=0.0166557 t=1322
jin wan 	今晚	c=2 d=0.372742 t=1322
jin wan 	金湾	c=15 d=3.05771 t=1322
jin wan ren 	金湾人	c=1 d=0.591555 t=1322
jin yong 	禁用	c=1 d=0.00290884 t=1322
jin zhu 	进驻	c=1 d=0.0385808 t=1322
jing 	精	c=2 d=0.380448 t=1322
jing cai 	精彩	c=1 d=0.394554 t=1322
jing chang 	经常	c=1 d=0.0658748 t=1322
jing cheng 	京城	c=1 d=0.0655462 t=1322
jing dian 	经典	c=1 d=0.0182243 t=1322
jing guan 	景观	c=1 d=0.0193512 t=1322
jing ming 	精明	c=1 d=0.150318 t=1322
jing pai 	精排	c=1 d=0.0710054 t=1322
jing xi 	惊喜	c=0 d=0.000425356 t=1322
jing xin 	惊心	c=1 d=0.0145524 t=1322
jing ye 	敬业	c=1 d=0.0175975 t=1322
jiu 	久	c=2 d=0.390978 t=1322
jiu 	就	c=6 d=0.922261 t=1322
jiu shi 	就是	c=10 d=0.492795 t=1322
jiu shi zhe yang 	就是这样	c=0 d=0.000204983 t=1322
jiu xian 	就先	c=1 d=0.995012 t=1322
jiu xiang shi 	就像是	c=1 d=0.0792617 t=1322
ju 	剧	c=1 d=0.647265 t=1322
ju ti 	具体	c=1 d=0.00726273 t=1322
jue de 	觉得	c=2 d=0.201851 t=1322
jue ding 	决定	c=1 d=0.00149594 t=1322
jun 	军	c=1 d=0.17552 t=1322
ka pian 	卡片	c=13 d=1.12719 t=1322
kai hui 	开会	c=1 d=0.0106202 t=1322
kai shi 	开始	c=1 d=0.0391639 t=1322
kan 	看	c=7 d=0.697544 t=1322
kan guo 	看过	c=1 d=0.128735 t=1322
kan hao 	看好	c=1 d=0.0146986 t=1322
kan kan 	看看	c=2 d=0.372761 t=1322
kan shi pin 	看视频	c=1 d=0.588605 t=1322
kan wan 	看完	c=2 d=0.208563 t=1322
kao lv 	考虑	c=1 d=0.0450492 t=1322
ke 	可	c=3 d=0.735372 t=1322
ke cheng 	课程	c=4 d=0.647811 t=1322
ke fu 	客服	c=1 d=0.00373503 t=1322
ke neng 	可能	c=0 d=0.00261214 t=1322
ke shi 	可是	c=1 d=0.878095 t=1322
ke yi 	可以	c=10 d=0.891778 t=1322
ke yong 	可用	c=1 d=0.0031042 t=1322
kou 	口	c=2 d=0.0955311 t=1322
ku 	库	c=1 d=0.22313 t=1322
ku cha 	裤衩	c=1 d=0.0389686 t=1322
kuai 	快	c=1 d=0.609571 t=1322
kuang lan 	狂澜	c=1 d=0.189191 t=1322
kui jian 	窥见	c=1 d=0.170333 t=1322
kui kong 	亏空	c=1 d=0.172907 t=1322
lai 	来	c=3 d=0.626316 t=1322
lai dao 	来到	c=1 d=0.380983 t=1322
lai jiang 	来讲	c=1 d=0.00644146 t=1322
lang 	浪	c=0 d=0.0151072 t=1322
lang de xu ming 	浪得虚名	c=1 d=0.151829 t=1322
lao ren 	老人	c=2 d=0.100852 t=1322
le 	了	c=13 d=1.80714 t=1322
lei si 	类似	c=1 d=0.118245 t=1322
li hao 	利好	c=1 d=0.0014018 t=1322
li hao 	黎浩	c=1 d=0.0181334 t=1322
li ji 	立即	c=1 d=0.00524752 t=1322
li shi 	历史	c=1 d=0.116484 t=1322
li te 	力特	c=1 d=0.0183156 t=1322
li yong 	利用	c=1 d=0.00474815 t=1322
lian jie 	链接	c=1 d=0.631284 t=1322
liang 	两	c=1 d=0.0972957 t=1322
liang ban 	两班	c=1 d=0.0308074 t=1322
liang ge 	两个	c=1 d=0.028297 t=1322
liang pian 	两篇	c=1 d=0.092089 t=1322
liang zhe 	两者	c=1 d=0.110803 t=1322
liang zhong 	两种	c=1 d=0.109154 t=1322
liao 	聊	c=1 d=0.0213195 t=1322
liao jie 	了解	c=1 d=0.137381 t=1322
liao sheng yu wu 	聊胜于无	c=1 d=0.125556 t=1322
ling 	令	c=1 d=0.169483 t=1322
ling dao 	领导	c=1 d=0.677057 t=1322
ling jian 	零件	c=0 d=0.000267181 t=1322
ling lei 	另类	c=1 d=0.0992613 t=1322
ling qu 	领取	c=1 d=0.597501 t=1322
ling sai la 	令赛啦	c=1 d=0.822835 t=1322
liu ri 	六日	c=1 d=0.00904991 t=1322
liu zuo 	留做	c=1 d=0.985112 t=1322
lu 	卢	c=2 d=0.010594 t=1322
lu bian 	路边	c=1 d=0.0184074 t=1322
lu chang hai 	卢昌海	c=1 d=0.0071546 t=1322
lu kou 	路口	c=2 d=0.640849 t=1322
lv hua 	绿化	c=2 d=0.0395862 t=1322
lv ke 	旅客	c=3 d=0.13892 t=1322
